pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr
0.02	10.0	10.0	178.0	154.0	S	562	Escherichia coli	CasClinique10_ADN	False	16069.0	0.009583670421308109	0.13	24497309.0	23645093.0	S	Escherichia coli	6.512979246899134e-06	0.002071509598089804	0.0037251848435004855	6.0	2.016587401380939	0.021869294430974295	0.6893265565438373
0.0	1.0	0.0	2.0	1.0	S	587753	Pseudomonas chlororaphis	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.06	11633199.0	8849520.0	S	Pseudomonas chlororaphis	1.1300047912203148e-07	2.6040702975961782e-05	2.045537901126596e-05	5.0	1.7692619196396262	0.03842508759644503	0.6893265565438373
0.01	5.0	5.0	177.0	148.0	S	574650	Micrococcus terreus	CasClinique10_ADN	False	16069.0	0.009210280664633768	0.0	841942.0	841942.0	S	Micrococcus terreus	0.00017578408013853685	0.002505178486044907	0.0044850911426176565	4.0	1.494975679507714	0.06746039473415999	0.6893265565438373
0.03	19.0	19.0	414.0	306.0	S	2903900	Paracoccus everestensis	CasClinique10_ADN	False	16069.0	0.019042877590391437	0.0	359695.0	359695.0	S	Paracoccus everestensis	0.0008507207495239022	0.0053584768772911495	0.009183459609443792	4.0	1.490113888999736	0.06809714642911335	0.6893265565438373
0.0	1.0	1.0	4.0	4.0	S	2970464	Massilia sp. H6	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.01	1191350.0	1191350.0	S	Massilia sp. H6	3.357535568892433e-06	9.578183677535633e-05	0.000103121290502613	4.0	1.4850926217833202	0.06875964515370947	0.6893265565438373
0.1	64.0	64.0	1324.0	1061.0	S	59779	Paracoccus marcusii	CasClinique10_ADN	False	16069.0	0.06602775530524613	0.01	1983130.0	1983130.0	S	Paracoccus marcusii	0.0005350128332484507	0.01965883470409415	0.03133713654240755	4.0	1.4796795660765747	0.06947939067080511	0.6893265565438373
0.03	20.0	20.0	389.0	333.0	S	2589076	Paracoccus sp. AK26	CasClinique10_ADN	False	16069.0	0.020723131495425977	0.0	915017.0	915017.0	S	Paracoccus sp. AK26	0.0003639276647319121	0.006687628557307223	0.009519751383699135	4.0	1.4743560385570609	0.07019287715804523	0.6893265565438373
0.01	7.0	7.0	41.0	36.0	S	2957203	Salinilacustrithrix flava	CasClinique10_ADN	False	16069.0	0.0022403385400460514	0.01	1199784.0	1199784.0	S	Salinilacustrithrix flava	3.000540097217499e-05	0.0007545654202126959	0.0010286334185372504	4.0	1.444414592271533	0.07431119422379207	0.6893265565438373
0.01	7.0	1.0	229.0	183.0	S	161879	Corynebacterium kroppenstedtii	CasClinique10_ADN	False	16069.0	0.011388387578567428	0.01	1607837.0	1180778.0	S	Corynebacterium kroppenstedtii	0.00015498256234448813	0.005735981987520118	0.004014362147392139	4.0	1.4080457575854979	0.07955876056914868	0.6893265565438373
0.02	11.0	0.0	85.0	68.0	S	1861	Geodermatophilus obscurus	CasClinique10_ADN	False	16069.0	0.004231750575642542	0.01	1334054.0	0.0	S	Geodermatophilus obscurus		0.0014761617521865647	0.0019655493752155696	4.0	1.401943323430255	0.08046608597836957	0.6893265565438373
0.01	9.0	9.0	68.0	53.0	S	1564165	Blastococcus brunescens	CasClinique10_ADN	False	16069.0	0.003298276183956687	0.01	1290148.0	1290148.0	S	Blastococcus brunescens	4.10805581995244e-05	0.0012144531216149597	0.0015019902796516362	4.0	1.3873745326934062	0.08266379328099438	0.6893265565438373
0.0	1.0	0.0	9.0	9.0	S	94132	Ramlibacter tataouinensis	CasClinique10_ADN	False	16069.0	0.0005600846350115129	0.02	3404438.0	2411827.0	S	Ramlibacter tataouinensis	3.7316109322932367e-06	0.0003598246419412079	0.0001575836632076434	4.0	1.270816967913915	0.10189688542739062	0.6893265565438373
0.0	1.0	1.0	40.0	40.0	S	40214	Acinetobacter johnsonii	CasClinique10_ADN	False	16069.0	0.0024892650444956125	0.02	3532073.0	3500798.0	S	Acinetobacter johnsonii	1.1425966308253147e-05	0.0010018893235296058	0.0012035830069988662	5.0	1.2357898975948303	0.10826833556204674	0.6893265565438373
0.01	4.0	4.0	40.0	27.0	S	1945662	Paracoccus contaminans	CasClinique10_ADN	False	16069.0	0.0016802539050345385	0.0	735210.0	735210.0	S	Paracoccus contaminans	3.6724201248622845e-05	0.0007896626148864053	0.0007559547554099678	4.0	1.1781013133056482	0.11937810927601666	0.6893265565438373
0.13	79.0	78.0	1695.0	1374.0	S	1351	Enterococcus faecalis	CasClinique10_ADN	False	16069.0	0.0855062542784243	0.02	3174525.0	3104588.0	S	Enterococcus faecalis	0.0004425708016651485	0.02850505827130619	0.049364483804595745	3.0	1.1547005379971462	0.12410653957322604	0.6893265565438373
0.0	1.0	1.0	2.0	2.0	S	1938607	Sphingomonas sp. LM7	CasClinique10_ADN	False	16069.0	0.00012446325222478064	0.01	1075665.0	1075665.0	S	Sphingomonas sp. LM7	1.8593149354120474e-06	5.562673093910706e-05	5.961417834072942e-05	3.0	1.1547004957819456	0.12410654821990397	0.6893265565438373
0.02	10.0	10.0	407.0	351.0	S	1275	Kocuria rosea	CasClinique10_ADN	False	16069.0	0.021843300765449002	0.01	1737212.0	1737212.0	S	Kocuria rosea	0.00020204787901534184	0.009166127427273376	0.01097875721983446	3.0	1.1547002164573574	0.12410660543223861	0.6893265565438373
0.0	1.0	1.0	24.0	24.0	S	1352	Enterococcus faecium	CasClinique10_ADN	False	16069.0	0.0014935590266973676	0.01	2194509.0	2156622.0	S	Enterococcus faecium	1.1128514871869061e-05	0.0005021729529239422	0.0008585660720791243	3.0	1.1546998023957096	0.12410669024196885	0.6893265565438373
0.0	3.0	3.0	126.0	120.0	S	2714939	Nocardioides sp. HDW12B	CasClinique10_ADN	False	16069.0	0.007467795133486838	0.01	1114198.0	1114198.0	S	Nocardioides sp. HDW12B	0.00010770078567723151	0.0027213736722194915	0.004110539388670171	3.0	1.1546955307981839	0.12410756516969157	0.6893265565438373
0.0	1.0	1.0	9.0	6.0	S	630515	Microlunatus soli	CasClinique10_ADN	False	16069.0	0.0003733897566743419	0.01	1995488.0	1995488.0	S	Microlunatus soli	3.0067833031318655e-06	0.00013742308447460116	0.00020436064726414243	3.0	1.1546580780532885	0.12411523659331669	0.6893265565438373
0.03	20.0	20.0	94.0	72.0	S	3030011	Paracoccus sp. S3-43	CasClinique10_ADN	False	16069.0	0.004480677080092103	0.0	691568.0	691568.0	S	Paracoccus sp. S3-43	0.00010411123707285474	0.0018185460152836113	0.0023055772521109338	3.0	1.1546483911441725	0.12411722081119203	0.6893265565438373
0.0	2.0	2.0	130.0	68.0	S	119219	Cupriavidus metallidurans	CasClinique10_ADN	False	16069.0	0.004231750575642542	0.02	3945857.0	3944954.0	S	Cupriavidus metallidurans	1.7237209863537065e-05	0.001454087132466906	0.0024063187154075836	3.0	1.1543206747262293	0.12418436167484082	0.6893265565438373
0.0	1.0	1.0	4.0	4.0	S	34007	Paracoccus versutus	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.01	1399028.0	1399028.0	S	Paracoccus versutus	2.8591279088052563e-06	0.00010889516598282813	0.00012132133880074797	3.0	1.1542185393841848	0.12420529183357742	0.6893265565438373
0.01	7.0	7.0	137.0	117.0	S	2500532	Paracoccus sp. Arc7-R13	CasClinique10_ADN	False	16069.0	0.0072811002551496674	0.0	260327.0	260327.0	S	Paracoccus sp. Arc7-R13	0.0004494347493729041	0.0030782697880446797	0.0036420918550601256	3.0	1.1539605903310215	0.12425816321522987	0.6893265565438373
0.01	4.0	4.0	109.0	75.0	S	53458	Janibacter limosus	CasClinique10_ADN	False	16069.0	0.0046673719584292735	0.01	1285590.0	1285590.0	S	Janibacter limosus	5.8338972767367515e-05	0.0016383202139734652	0.0026252415196555802	3.0	1.153818314153894	0.12428733205799913	0.6893265565438373
0.0	1.0	1.0	3.0	3.0	S	3121290	Croceibacterium sp. TMG7-5b_MA50	CasClinique10_ADN	False	16069.0	0.00018669487833717095	0.0	919042.0	919042.0	S	Croceibacterium sp. TMG7-5b_MA50	3.2642686623679874e-06	7.283316246682484e-05	9.874893199458335e-05	3.0	1.153042504566953	0.12444646941867332	0.6893265565438373
0.0	1.0	1.0	8.0	5.0	S	2051553	Methylobacterium currus	CasClinique10_ADN	False	16069.0	0.00031115813056195157	0.01	2001722.0	2001722.0	S	Methylobacterium currus	2.4978493517081793e-06	0.0001543394940635057	0.00013608850076645993	3.0	1.1523283423304127	0.12459308730499163	0.6893265565438373
0.0	1.0	1.0	7.0	5.0	S	2698679	Sphingomonas changnyeongensis	CasClinique10_ADN	False	16069.0	0.00031115813056195157	0.0	774439.0	774439.0	S	Sphingomonas changnyeongensis	6.4562864215257755e-06	0.0001237232696941263	0.00016279010627557922	3.0	1.1513897567615452	0.12478596299185374	0.6893265565438373
0.0	2.0	2.0	14.0	12.0	S	2575440	Nocardioides jishulii	CasClinique10_ADN	False	16069.0	0.0007467795133486838	0.0	928929.0	928929.0	S	Nocardioides jishulii	1.291810245992966e-05	0.00028546929565324174	0.00040091865820353134	3.0	1.1506329482457067	0.12494163607349751	0.6893265565438373
0.0	2.0	2.0	12.0	8.0	S	405559	Paracoccus saliphilus	CasClinique10_ADN	False	16069.0	0.0004978530088991226	0.01	1325743.0	1325743.0	S	Paracoccus saliphilus	6.0343520576763366e-06	0.0002071379365943521	0.0002528031033671869	3.0	1.1499663905728161	0.1250788571709378	0.6893265565438373
0.0	1.0	1.0	1.0	1.0	S	1909290	Polymorphobacter sp.	CasClinique10_ADN	False	16069.0	6.223162611239032e-05	0.0	791371.0	791371.0	S	Polymorphobacter sp.	1.2636298272238936e-06	2.329317851137409e-05	3.387802519912659e-05	3.0	1.1493718235388792	0.1252013466829731	0.6893265565438373
0.0	1.0	1.0	7.0	4.0	S	624315	Phytohabitans suffuscus	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.01	2505795.0	2505795.0	S	Phytohabitans suffuscus	1.5962997771166436e-06	0.00010297939432332954	0.00012699278568272066	3.0	1.1492551276957312	0.12522539756457762	0.6893265565438373
0.0	1.0	1.0	7.0	6.0	S	3138066	Paracoccus sp. ME4	CasClinique10_ADN	False	16069.0	0.0003733897566743419	0.0	937543.0	937543.0	S	Paracoccus sp. ME4	6.399706466796723e-06	0.00019862470611752394	0.00015216631602801834	3.0	1.1485133840306585	0.12537834551589744	0.6893265565438373
0.0	2.0	2.0	4.0	4.0	S	556288	Brachybacterium saurashtrense	CasClinique10_ADN	False	16069.0	0.0002489265044495613	0.0	902017.0	902017.0	S	Brachybacterium saurashtrense	4.434506223275171e-06	0.00010654766526224458	0.00012411476559794998	3.0	1.1471547200800452	0.1256588408504753	0.6893265565438373
0.0	2.0	2.0	9.0	9.0	S	3036374	Nocardioides lacus	CasClinique10_ADN	False	16069.0	0.0005600846350115129	0.01	1169255.0	1169255.0	S	Nocardioides lacus	7.69720890652595e-06	0.00023735661781733132	0.0002815112326893527	3.0	1.1464125751255954	0.12581224097294674	0.6893265565438373
0.0	2.0	2.0	12.0	10.0	S	433659	Nocardioides mesophilus	CasClinique10_ADN	False	16069.0	0.0006223162611239031	0.01	1187702.0	1187702.0	S	Nocardioides mesophilus	8.419620409833444e-06	0.00024869813670242016	0.00032611210718827837	3.0	1.1456738838763119	0.12596505687927773	0.6893265565438373
0.0	1.0	1.0	4.0	2.0	S	2567881	Citricoccus sp. SGAir0253	CasClinique10_ADN	False	16069.0	0.00012446325222478064	0.0	890699.0	890699.0	S	Citricoccus sp. SGAir0253	2.2454274676405834e-06	6.502908742481499e-05	5.1946987151653043e-05	3.0	1.144131124033328	0.12628463086786224	0.6893265565438373
0.0	1.0	1.0	4.0	3.0	S	2761047	Janibacter sp. YB324	CasClinique10_ADN	False	16069.0	0.00018669487833717095	0.0	277922.0	277922.0	S	Janibacter sp. YB324	1.0794395549830529e-05	9.757367901877286e-05	7.790079594287416e-05	3.0	1.1440345151768672	0.1263046616287561	0.6893265565438373
0.0	1.0	1.0	22.0	11.0	S	37928	Crystallibacter crystallopoietes	CasClinique10_ADN	False	16069.0	0.0006845478872362935	0.01	2509097.0	2509097.0	S	Crystallibacter crystallopoietes	4.38404732858076e-06	0.00034110794965528496	0.0003004113520883257	3.0	1.143232222063405	0.12647109363471087	0.6893265565438373
0.01	5.0	5.0	22.0	20.0	S	2996826	Nocardioides sp. Arc9.136	CasClinique10_ADN	False	16069.0	0.0012446325222478063	0.01	1034994.0	1034994.0	S	Nocardioides sp. Arc9.136	1.9323783519517988e-05	0.0004926904767888707	0.0006581702448847324	3.0	1.1424734729395518	0.12662863315452833	0.6893265565438373
0.0	1.0	1.0	30.0	21.0	S	2843215	Miltoncostaea marina	CasClinique10_ADN	False	16069.0	0.0013068641483601966	0.0	821578.0	821578.0	S	Miltoncostaea marina	2.55605675906609e-05	0.0007383925259737711	0.0004980892946253206	3.0	1.1413046385870405	0.12687158625621242	0.6893265565438373
