sample	reference	mapq_min	read_count	neg_read_count	z_score	p_value	gtdb_taxonomy	ncbi_taxid
MG-Run35-Ech-1	GCF_000375525.1	25	3696	0	5226.226219749772	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum	43769.0
MG-Run35-Ech-1	GCF_003942765.1	25	3177	0	4492.249380878136	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_BE	28037.0
MG-Run35-Ech-1	GCF_000469305.1	25	2126	0	3005.910926824013	0.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	39483.0
MG-Run35-Ech-1	GCF_000368145.1	25	1368	954	13.38404991165664	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	2929509.0
MG-Run35-Ech-1	GCF_002238115.1	25	775	0	1095.308404057962	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	257758.0
MG-Run35-Ech-1	GCF_000820085.1	25	697	0	984.9997461928606	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	2778058.0
MG-Run35-Ech-1	GCF_902825235.1	25	537	0	758.7255762131655	0.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	33047.0
MG-Run35-Ech-1	GCF_003943815.1	25	381	0	538.1082604829626	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	45634.0
MG-Run35-Ech-1	GCF_003943825.1	25	311	0	439.113311116846	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_CD	1303.0
MG-Run35-Ech-1	GCF_000236925.1	25	179	0	252.43712088359746	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	985002.0
