sample	taxid	name	cub_pct_fragments	cub_fragments_clade	cub_fragments_direct	cub_minimizers	cub_distinct_minimizers	cub_rank_code	cub_is_host	cub_total_distinct_minimizers_non_host	cub_minimizer_proportion_sample	cub_neg_control_prop	cub_signal_over_neg	cub_db_pct	cub_db_clade_minimizers	cub_db_taxon_minimizers	cub_db_rank_code	cub_db_name	cub_genome_coverage_estimate	cub_taxon_mean_prop	cub_taxon_sd_prop	cub_n_samples_with_taxon	cub_z_score	cub_p_value	cub_fdr	cub_z_score_neg	cub_p_value_neg	cub_fdr_neg	sample_right	taxid_right	gtdb_taxonomy	bam_reference	bam_mapq_min	bam_read_count	bam_neg_read_count	bam_z_score	bam_p_value	bam_ncbi_taxid
																													MG-Run35-Ech-1	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	2126	0	3005.910926824013	0.0	39483.0
																													MG-Run35-Ech-7	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	1811	0	2560.4336546764885	0.0	39483.0
																													MG-Run35-Ech-8	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	1152	0	1628.4669170726188	0.0	39483.0
																													MG-Run35-Ech-3	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	1073	0	1516.7440456451443	0.0	39483.0
																													MG-Run35-Ech-10	2929509	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	GCF_000368145.1	25	996	954	1.3432601483282962	0.08959387570208266	2929509.0
																													MG-Run35-Ech-3	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	987	0	1395.1216792810583	0.0	2778058.0
																													MG-Run35-Ech-4	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	972	0	1373.9084758454617	0.0	39483.0
																													MG-Run35-Ech-7	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	867	0	1225.4160517962869	0.0	2778058.0
																													MG-Run35-Ech-6	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	863	0	1219.7591975467944	0.0	2778058.0
																													MG-Run35-Ech-6	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	809	0	1143.3916651786474	0.0	39483.0
																													MG-Run35-Ech-1	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	775	0	1095.308404057962	0.0	257758.0
																													MG-Run35-Ech-1	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	697	0	984.9997461928606	0.0	2778058.0
																													MG-Run35-Ech-9	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	670	0	946.815980008787	0.0	39483.0
																													MG-Run35-Ech-8	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	661	0	934.0880579474292	0.0	2778058.0
																													MG-Run35-Ech-9	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	617	0	871.8626612030131	0.0	2778058.0
																													MG-Run35-Ech-4	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	609	0	860.5489527040282	0.0	2778058.0
																													MG-Run35-Ech-5	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	547	0	772.8677118368964	0.0	2778058.0
																													MG-Run35-Ech-1	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	537	0	758.7255762131655	0.0	33047.0
																													MG-Run35-Ech-8	2929509	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	GCF_000368145.1	25	513	954	-14.29034591534802	1.0	2929509.0
																													MG-Run35-Ech-4	2929509	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	GCF_000368145.1	25	481	954	-15.326112776709596	1.0	2929509.0
																													MG-Run35-Ech-7	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	438	0	618.7184335382291	0.0	257758.0
																													MG-Run35-Ech-5	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	436	0	615.8900064134829	0.0	39483.0
																													MG-Run35-Ech-2	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	405	0	572.0493859799169	0.0	39483.0
																													MG-Run35-Ech-8	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	392	0	553.6646096690666	0.0	480036.0
																													MG-Run35-Ech-3	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	378	0	533.8656197958434	0.0	257758.0
																													MG-Run35-Ech-4	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	370	0	522.5519112968586	0.0	257758.0
																													MG-Run35-Ech-6	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	353	0	498.510280736516	0.0	257758.0
																													MG-Run35-Ech-7	1303	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_CD	GCF_003943825.1	25	332	0	468.811795926681	0.0	1303.0
																													MG-Run35-Ech-3	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	330	0	465.9833688019348	0.0	33047.0
																													MG-Run35-Ech-8	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	330	0	465.9833688019348	0.0	257758.0
																													MG-Run35-Ech-3	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	329	0	464.56915523956167	0.0	45634.0
																													MG-Run35-Ech-2	2778058	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas sanarellii	GCF_000820085.1	25	310	0	437.69909755447287	0.0	2778058.0
																													MG-Run35-Ech-8	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	306	0	432.0422433049805	0.0	33047.0
																													MG-Run35-Ech-5	59823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella vespertina	GCF_009728485.1	25	304	0	429.21381618023435	0.0	59823.0
																													MG-Run35-Ech-9	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	292	0	412.2432534317572	0.0	480036.0
																													MG-Run35-Ech-7	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	275	0	388.20162287141454	0.0	480036.0
																													MG-Run35-Ech-6	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	266	0	375.4737008100567	0.0	33047.0
																													MG-Run35-Ech-7	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	259	0	365.57420587344507	0.0	45634.0
																													MG-Run35-Ech-6	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	252	0	355.6747109368334	0.0	1965230.0
																													MG-Run35-Ech-7	2929509	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	GCF_000368145.1	25	252	954	-22.738319378328388	1.0	2929509.0
																													MG-Run35-Ech-8	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	242	0	341.5325753131024	0.0	45634.0
																													MG-Run35-Ech-6	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	232	0	327.3904396893715	0.0	45634.0
																													MG-Run35-Ech-6	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	231	0	325.97622612699837	0.0	480036.0
																													MG-Run35-Ech-4	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	229	0	323.1477990022522	0.0	45634.0
																													MG-Run35-Ech-9	45634	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus_F	GCF_003943815.1	25	229	0	323.1477990022522	0.0	45634.0
																													MG-Run35-Ech-3	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	224	0	316.07673119038674	0.0	480036.0
																													MG-Run35-Ech-6	59823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella vespertina	GCF_009728485.1	25	214	0	301.9345955666558	0.0	59823.0
																													MG-Run35-Ech-9	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	206	0	290.620887067671	0.0	33047.0
																													MG-Run35-Ech-10	1450526	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__Kaistella haifensis	GCF_000735695.2	25	203	0	286.37824638055173	0.0	1450526.0
																													MG-Run35-Ech-4	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	199	0	280.72139213105936	0.0	33047.0
																													MG-Run35-Ech-7	190721	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia sp001078575	GCA_022631215.1	25	194	0	273.6503243191939	0.0	190721.0
																													MG-Run35-Ech-5	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	194	0	273.6503243191939	0.0	1965230.0
																													MG-Run35-Ech-9	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	192	0	270.8218971944477	0.0	257758.0
																													MG-Run35-Ech-7	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	191	0	269.40768363207457	0.0	1965230.0
																													MG-Run35-Ech-4	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	188	0	265.1650429449553	0.0	480036.0
																													MG-Run35-Ech-3	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	180	0	253.85133444597054	0.0	1965230.0
																													MG-Run35-Ech-6	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_L	GCF_001072375.1	25	178	0	251.02290732122435	0.0	257758.0
																													MG-Run35-Ech-2	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	177	0	249.60869375885125	0.0	1965230.0
																													MG-Run35-Ech-8	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	177	0	249.60869375885125	0.0	1965230.0
																													MG-Run35-Ech-7	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	175	0	246.78026663410506	0.0	33047.0
																													MG-Run35-Ech-10	553184	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella rimae	GCF_000174015.1	25	173	0	243.95183950935888	0.0	553184.0
																													MG-Run35-Ech-2	59823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella vespertina	GCF_009728485.1	25	170	0	239.70919882223959	0.0	59823.0
																													MG-Run35-Ech-5	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	159	0	224.15284963613556	0.0	480036.0
																													MG-Run35-Ech-5	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	149	0	210.0107140124046	0.0	33047.0
																													MG-Run35-Ech-2	33047	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella;s__Bartonella vinsonii	GCF_902825235.1	25	141	0	198.69700551341984	0.0	33047.0
																													MG-Run35-Ech-1	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	139	0	195.86857838867365	0.0	480036.0
																													MG-Run35-Ech-10	39483	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	25	134	0	188.79751057680818	0.0	39483.0
																													MG-Run35-Ech-1	1293	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus gallinarum	GCF_000875895.1	25	133	0	187.38329701443507	0.0	1293.0
																													MG-Run35-Ech-9	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	130	0	183.1406563273158	0.0	1965230.0
																													MG-Run35-Ech-5	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	127	0	178.89801564019652	0.0	135487.0
																													MG-Run35-Ech-6	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	116	0	163.34166645409246	0.0	135487.0
																													MG-Run35-Ech-2	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	113	0	159.09902576697317	0.0	135487.0
																													MG-Run35-Ech-7	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	111	0	156.270598642227	0.0	135487.0
																													MG-Run35-Ech-5	257758	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp002238115	GCF_002238115.1	25	106	0	149.1995308303615	0.0	257758.0
																													MG-Run35-Ech-2	480036	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia blacklockiae	GCF_015477355.1	25	103	0	144.95689014324222	0.0	480036.0
																													MG-Run35-Ech-9	28090	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp013417155	GCF_013417155.1	25	102	0	143.54267658086914	0.0	28090.0
																													MG-Run35-Ech-5	159272	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251385	GCF_002251385.1	25	101	0	142.12846301849603	0.0	159272.0
																													MG-Run35-Ech-8	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	98	0	137.88582233137674	0.0	135487.0
																													MG-Run35-Ech-4	1965230	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Saezia;s__Saezia sanguinis	GCF_003991585.1	25	94	0	132.22896808188437	0.0	1965230.0
																													MG-Run35-Ech-3	135487	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_E	GCF_010858045.1	25	92	0	129.4005409571382	0.0	135487.0
