pct_fragments	fragments_clade	fragments_direct	minimizers	distinct_minimizers	rank_code	taxid	name	sample	is_host	total_distinct_minimizers_non_host	minimizer_proportion_sample	neg_control_prop	signal_over_neg	db_pct	db_clade_minimizers	db_taxon_minimizers	db_rank_code	db_name	genome_coverage_estimate	taxon_mean_prop	taxon_sd_prop	n_samples_with_taxon	z_score	p_value	fdr	z_score_neg	p_value_neg	fdr_neg
0.02	183.0	0.0	264.0	9.0	S	441501	Corynebacterium massiliense	MG-Run35-Ech-1	False	1214575.0	7.409999382500052e-06	0.0	7.409999382500052e-06	0.0	621186.0	0.0	S	Corynebacterium massiliense		1.5181620116664863e-06	2.4086417086934763e-06	8	2.4461244483013975	0.0072200573869127815	0.369771862473488	2.4461244483013975	0.0072200573869127815	0.6518274251167904
0.01	72.0	72.0	847.0	77.0	S	3050197	Corynebacterium rhinophilum	MG-Run35-Ech-1	False	1214575.0	6.339666138361155e-05	0.0	6.339666138361155e-05	0.0	733387.0	733387.0	S	Corynebacterium rhinophilum	0.0001049923164713855	2.8576835587911613e-05	1.6314851696536685e-05	9	2.134241024274311	0.016411528064417702	0.562139271751607	2.134241024274311	0.016411528064417702	0.6518274251167904
0.0	3.0	3.0	8.0	4.0	S	2079234	Corynebacterium gerontici	MG-Run35-Ech-1	False	1214575.0	3.2933330588889117e-06	0.0	3.2933330588889117e-06	0.0	666729.0	666729.0	S	Corynebacterium gerontici	5.999439052448596e-06	7.641412649206234e-07	1.2401209782169477e-06	6	2.0394718244382686	0.020701480229806557	0.581161660374333	2.0394718244382686	0.020701480229806557	0.6518274251167904
0.0	8.0	8.0	20.0	10.0	S	1719	Corynebacterium pseudotuberculosis	MG-Run35-Ech-1	False	1214575.0	8.23333264722228e-06	0.0	8.23333264722228e-06	0.01	1201665.0	1186456.0	S	Corynebacterium pseudotuberculosis	8.428462580997525e-06	2.330608459395284e-06	2.9705420883590623e-06	6	1.987086535807234	0.023456404019534638	0.6130974141524645	1.987086535807234	0.023456404019534638	0.6518274251167904
0.0	21.0	21.0	64.0	2.0	S	1907662	Raoultibacter timonensis	MG-Run35-Ech-1	False	1214575.0	1.6466665294444558e-06	0.0	1.6466665294444558e-06	0.01	1250663.0	1250663.0	S	Raoultibacter timonensis	1.5991518098800396e-06	6.986277930598813e-07	5.104950297088638e-07	6	1.8570968985246394	0.031648684696981566	0.7573489457726766	1.8570968985246394	0.031648684696981566	0.6518274251167904
0.0	2.0	2.0	7.0	1.0	S	2954618	Paenibacillus sp. FSL L8-0435	MG-Run35-Ech-1	False	1214575.0	8.233332647222279e-07	0.0	8.233332647222279e-07	0.0	241937.0	241937.0	S	Paenibacillus sp. FSL L8-0435	4.133307431273431e-06	3.4931389652994065e-07	2.552475148544319e-07	6	1.8570968985246394	0.031648684696981566	0.7573489457726766	1.8570968985246394	0.031648684696981566	0.6518274251167904
0.03	221.0	0.0	700.0	1.0	S	336988	Oenococcus kitaharae	MG-Run35-Ech-1	False	1214575.0	8.233332647222279e-07	0.0	8.233332647222279e-07	0.0	554358.0	2503.0	S	Oenococcus kitaharae	0.00039952057530962844	3.4931389652994065e-07	2.552475148544319e-07	6	1.8570968985246394	0.031648684696981566	0.7573489457726766	1.8570968985246394	0.031648684696981566	0.6518274251167904
0.04	268.0	268.0	1201.0	1.0	S	1582094	Cosavirus JMY-2014	MG-Run35-Ech-1	False	1214575.0	8.233332647222279e-07	0.0	8.233332647222279e-07	0.0	2271.0	2271.0	S	Cosavirus JMY-2014	0.00044033465433729633	3.4931389652994065e-07	2.552475148544319e-07	6	1.8570968985246394	0.031648684696981566	0.7573489457726766	1.8570968985246394	0.031648684696981566	0.6518274251167904
0.0	9.0	9.0	55.0	19.0	S	45972	Staphylococcus pasteuri	MG-Run35-Ech-1	False	1214575.0	1.564333202972233e-05	0.0	1.564333202972233e-05	0.01	1072281.0	1054743.0	S	Staphylococcus pasteuri	1.8013866885108505e-05	6.288294603679186e-06	5.21162076101221e-06	7	1.7950341851478449	0.0363241267630281	0.7573489457726766	1.7950341851478449	0.0363241267630281	0.6518274251167904
0.0	35.0	35.0	301.0	9.0	S	161896	Corynebacterium camporealensis	MG-Run35-Ech-1	False	1214575.0	7.409999382500052e-06	0.0	7.409999382500052e-06	0.0	711971.0	711971.0	S	Corynebacterium camporealensis	1.264096430893955e-05	2.116536437723727e-06	2.9678810296010407e-06	5	1.783583267651366	0.037245703246445605	0.7573489457726766	1.783583267651366	0.037245703246445605	0.6518274251167904
