sample	reference	mapq_min	read_count	neg_read_count	z_score	p_value	gtdb_taxonomy	ncbi_taxid
CasClinique2_ADN	GCF_003030305.1	25	168364	0	238101.94510860258	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	765068.0
CasClinique1_ARN	GCF_003030305.1	25	111096	0	157112.76281862016	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	765068.0
CasClinique1_ARN	GCF_000023205.1	25	29557	0	41799.20315628038	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	1270.0
CasClinique1_ARN	GCF_006742205.1	25	29499	0	41717.17876966274	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	1282.0
CasClinique2_ADN	GCF_030503735.1	25	28798	0	40725.8150624392	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp025144025	2916102.0
CasClinique2_ADN	GCF_006742205.1	25	28017	0	39621.31427022581	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	1282.0
CasClinique1_ARN	GCF_030503735.1	25	24236	0	34274.17279089314	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp025144025	2916102.0
CasClinique2_ADN	GCF_000023205.1	25	20399	0	28847.835352067577	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	1270.0
CasClinique2_ADN	GCF_002901845.1	25	17210	0	24337.908301659776	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	1290.0
CasClinique1_ARN	GCF_002901845.1	25	12376	0	17501.599941148237	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	1290.0
CasClinique2_ADN	GCF_000722765.2	25	11792	0	16675.69922072235	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AQ	28037.0
CasClinique1_ARN	GCF_001027105.1	25	11231	0	15882.325412231043	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	1280.0
CasClinique1_ARN	GCF_000722765.2	25	10257	0	14504.881402479648	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis_AQ	28037.0
CasClinique2_ADN	GCF_001027105.1	25	6843	0	9676.756300537902	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	1280.0
CasClinique1_ARN	GCF_013347965.1	25	2395	0	3386.334375102376	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E bijieensis	2681983.0
CasClinique2_ADN	GCF_008326345.1	25	2330	0	3294.4104935481246	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium modestum	1182755.0
CasClinique2_ADN	GCF_013347965.1	25	2168	0	3065.307896443683	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E bijieensis	2681983.0
CasClinique1_ARN	GCF_008326345.1	25	1507	0	2130.5127317150677	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium modestum	1182755.0
CasClinique1_ARN	GCF_011058205.1	25	1119	0	1581.7978695143067	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter fasciculus	575588.0
CasClinique7_ADN	GCF_003030305.1	25	1077	0	1522.4008998946367	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	765068.0
CasClinique2_ADN	GCF_001642025.1	25	664	0	938.3306986345485	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium namnetense	1912223.0
CasClinique2_ADN	GCF_011058205.1	25	575	0	812.4656915833431	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter fasciculus	575588.0
CasClinique4_ADN	GCF_000013285.1	25	564	0	796.909342397239	0.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	1502.0
CasClinique1_ARN	GCF_000236925.1	25	467	0	659.7306268470488	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	985002.0
CasClinique1_ARN	GCF_001642025.1	25	454	0	641.3458505361986	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium namnetense	1912223.0
CasClinique10_ADN	GCF_029024925.1	25	416	0	587.605735166021	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	1351.0
CasClinique2_ADN	GCF_000236925.1	25	360	0	508.4097756731276	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus argenteus	985002.0
CasClinique2_ADN	GCF_016894265.1	25	279	0	393.85847712090697	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum_D	2918198.0
CasClinique2_ADN	GCF_000239695.1	25	236	0	333.04729393886385	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii	1321817.0
CasClinique1_ARN	GCF_016894265.1	25	225	0	317.49094475275984	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuberculostearicum_D	2918198.0
CasClinique2_ADN	GCF_000227295.1	25	199	0	280.72139213105936	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum	33010.0
CasClinique1_ARN	GCF_019048525.1	25	183	0	258.0939751330898	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_K	28090.0
CasClinique8_ARN	GCF_003030305.1	25	182	0	256.6797615707167	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	765068.0
CasClinique8_ARN	GCA_022631215.1	25	179	0	252.43712088359746	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia sp001078575	190721.0
CasClinique2_ADN	GCF_027570215.1	25	169	0	238.2949852598665	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium hesseae	3051103.0
CasClinique8_ARN	GCF_023518235.1	25	162	0	228.39549032325485	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp003028475	69392.0
CasClinique1_ARN	GCF_027570215.1	25	157	0	221.32442251138937	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium hesseae	3051103.0
CasClinique1_ARN	GCF_014769185.1	25	145	0	204.3538597629122	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_D	28090.0
CasClinique1_ARN	GCF_000227295.1	25	141	0	198.69700551341984	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum	33010.0
CasClinique1_ARN	GCF_000239695.1	25	136	0	191.62593770155436	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii	1321817.0
CasClinique1_ARN	GCF_027570155.1	25	129	0	181.7264427649427	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium marquesiae	169292.0
CasClinique2_ADN	GCF_027570155.1	25	124	0	174.65537495307723	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium marquesiae	169292.0
CasClinique6_ARN	GCF_003030305.1	25	119	0	167.58430714121175	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	765068.0
CasClinique1_ARN	GCA_013530545.1	25	118	0	166.17009357883865	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_G	28090.0
CasClinique2_ADN	GCF_028308085.1	25	102	0	143.54267658086914	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella haemolysans_D	1379.0
CasClinique1_ARN	GCF_024129735.1	25	87	0	122.32947314527271	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_H	28090.0
CasClinique1_ARN	GCF_002321025.1	25	83	0	116.67261889578033	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_J	28090.0
CasClinique2_ADN	GCF_019048525.1	25	81	0	113.84419177103415	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_K	28090.0
CasClinique1_ARN	GCF_001708445.1	25	79	0	111.01576464628795	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_AN	2070623.0
CasClinique6_ARN	GCF_000622145.1	25	78	0	109.60155108391486	0.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei	147645.0
CasClinique1_ARN	GCF_015602705.1	25	75	0	105.35891039679558	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_E	28090.0
CasClinique2_ADN	GCA_958349165.1	25	75	0	105.35891039679558	0.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp958349165	249061.0
